color,sku,porcentage,color_t
0,Beige,6,0.007100591715976331,Others
1,Black,187,0.22130177514792898,Others
2,Blue,104,0.12307692307692308,Others
3,Brown,1,0.001183431952662722,Others
4,Burgundy,9,0.010650887573964497,Others
5,Gold,3,0.0035502958579881655,Others
6,Green,59,0.06982248520710059,Others
7,Grey,81,0.09585798816568047,Others
8,Multi,4,0.004733727810650888,Others
9,Multicolor,20,0.023668639053254437,Others
10,Orange,11,0.01301775147928994,Others
11,Pink,62,0.07337278106508875,Others
12,Purple,31,0.036686390532544376,Others
13,Red,25,0.029585798816568046,Others
14,Silver,1,0.001183431952662722,Others
15,Turquoise,2,0.002366863905325444,Others
16,White,222,0.26272189349112424,Others
17,Yellow,17,0.020118343195266272,Others
